language,labels
rt : bchoo follow kroo sahab hoo â¤ï¸ burry kam chor diya hain bhai ny ðŸ¤,1
kya in islamic leaders ko ye nhi pta ky kisi ky character pr buhtaan ya thhmat nhi lgaty kon sa islam prha hy or kis islam ki roh sy ye imran khan ko yahodi khty hyn  sharam aani chahiay inhy apni garkton py,0
roz dil udaas ho jata hai lekin damjh nahi aati udassi kis baat pe haiðŸ’”,1
yeah aink wala dado abusing krta hijra net par baat kar is ki lee kaal mai bhot hijra hai yeahðŸ˜‚ðŸ˜‚ðŸ˜‚,0
 ni na main dhundugi na tumhary lie koi churail pareshan mat jo tim,0
tune badi randiya chodi hai na. bada aya. ma yawa.,0
ðŸ˜‚ðŸ˜‚ bhai abhi toh shadi kon karwaega  bhai..!!  sirf milake chod diya tumne ðŸ˜‚ðŸ˜‚,1
"haram khor ha yh media,, mathrchod ki olad",0
 chalo aap kehti hain to maan lete hain,1
guys i found utterly idiot.   lol   muh se akhrot todne ke liye  muh mein dant ki jarurat hoti hai  ðŸ¤£  muh mein le le for time been. ðŸ˜‰,0
"  hahahah mgy b kuch samg nae a raha, hum b awean lagy huy hai.. be a part of it awaen boli jaoo ap b kuch b ðŸŒšðŸŒšðŸ˜‚ðŸ˜‚",1
maine bhi yahi para ha yar,1
wait i'm coming for fixing your heart ðŸ˜‚ðŸ˜‚ðŸ˜‚ btw yaar kasme 2 din sey neend nai a rahi pta nai kiun,1
 krlo isme kya hai... apko nahi mlsa to kisi ko q hoga. ðŸ™ƒ,1
faasla rakhain phir bad men ap ka istakharaa nhn mil rha hota... ,1
aao randi mere land pe bethho jannat dikha dunga,0
aby pgly bs kr rulay ga kia,1
ðŸ˜²ðŸ˜²ðŸ˜‚ ye mene kia dekh lia ðŸ˜‚ðŸ˜œ kon hy ye aadmiiiðŸ˜‚ðŸ¤£,1
"mera to dil der gya, establishment itni ahmaq hai, ke dobara ss ko pm bananye lagi hai",0
gandoo ke bache sharabi bharwe tu pakistan to aa,0
hahahahaha ... halala and triple ts are desired by muslims as per pe #sharia or saria ! big confusions,1
bhenchod,0
 behere andhe ho gaye hai aaj..  ko #siddharthshuklason_in_law_of_colors english mein baat kar raha hai..  change the bigg boss person,0
yes agreed ðŸ‘ðŸ»koi haqooq ly kar pyda nahin hoi... alhamdulillah aourat ko tahfuz deen e islam ny diya quran pak se milay sub haq ðŸ˜. ,1
phr akhroat hi kha chlgoze ko bhul ja. ðŸ˜‚,1
hahahaha. ðŸ˜‚ðŸ˜‚ phr bhe akmal ka nam nhai lene ka us beghairt ko jitne chance mile kisi aur ko milte world record banta,0
u sure? 1 sara din wala interact karne wala kam ho jaye ga ap ka medu apaaa,1
teri behan ka yaar idar he rundi k bachy  is time teri man k sath soya hua hon main or tu yahan behan c.h.u.d.w.a raha hey ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£,0
abhi fahad mustafa aa kar bolta unique ki bike kisko chaiye to sab ki awaz nikalti bc crowd may fotgi ho gai thi kya ðŸ˜‚,0
 shazaib apni baji ko b bejna han aurat march ma agr itne he zruri hai to,0
"doing rundi ronay 24/7:  -koi gf ban jaye, koi tu gf ban jaye  also me when a girl is being nice to me:  -ap to meri api ki trha ho",1
maa chudaaye deepika randi,0
jamiyey.halala ki aulaad,0
  mery pas kuch tweets k ss b thy jin ko dakh kar main bohat hansi thi ðŸŒšðŸŒšðŸŒšðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,1
 bhai main b ghareeb tu b ghareeb.   acha bura naseeb ka sab se bara ghareeb ka.,1
ab ye bhi bol do bsdk ki iska baap bhi school ka headmaster hai,0
foreign dramas: story plot narrative moral character development intriguing situations  pakistani dramas: randi rona randi rona randi rona randi rona randi rona  mazeed randi rona,0
is salman se koi ye to puchho ki mahira or aarti se jyada irritate krta h kya usko asim.kya plan le k aata h ye randwa har bar,0
  achaw bhaya cigrate churwany wala charus pe lga gyaðŸ˜›,1
allah pak aapko sehat de aur aap rashmi ko khud yeh btaao k aapne uske liye twitter join kiya tha,1
dil sambhal ja zara bhenchod!,0
  christine teri buddhi...ph****,0
 han mn bh...itni achhi diagrams bnati th k mam taref kiy bna nahi rehti th,1
 yeh ku nhn bta rahy k unky baf aese na ahil aye jo sirf dosrn ki buraiyan dhondte hen apne koi achar ka kam nhn kr skty,1
aap kiska intjar kr rhe yha so jao ðŸ˜›ðŸ˜…,1
charsi khan se to achi hi he ðŸ‘Š,0
bhenchod sab mil kay chutiya bna rahe hain,0
nisa bharwi hum teeno kay beech mai mat ao randi please,0
mujh se to na ye long paragraphs likhy jaty hain or na he parhy jaty hain.,1
 baat to aap ki sach hai maggar hota aaisa hi hai,1
so apke acc apne frnz k secrets game mein use krna sahi hai?,1
 bara..chota toh mar k bhi koi kaam nhi karta..ðŸ™„,1
 galt kiya ma ny,1
  2018 k election ma tehreek labaiak ko kafi vote para na 118 ma aur dosra rai aslam.kharal mpa ki seat pe ejaz shah k neechy tha baradari ka vote bhe taqseem hua dr sahiba ka is leye bht km margin se hari ha dr sahiba aur dhandli factor ko bhe nzr andaaz nh kiya ja skta,1
 main mar gya hun..kuch din pehly depressed soul sy name change kia hy,1
 clever hona b zroori h aj kal k doar mein  loyality abhi ap ny daikhi ni,1
ik toh ab mujhe yahoodi bacha lagta hai,0
 umar fukriyan word punjabi people use karte hai .kabhi kabhi muze lagta hai tum dono brothers punjab se  hi ho.,1
  saeee tere pass mai ho hi naa jaunðŸ™‚,1
  exactly jab yeh bat meri dost ki aur meri hai toh tum kon?,1
ap bh kiya yad rakhyn gy k kis sakhii bhen sy pala para apkaðŸ˜‚ðŸ˜‚,1
 jagh sb hi rahe hote singal social media pe nazar ate ar engaged apni partner k sth busy hote ðŸ˜‚ðŸ˜‚,1
"tab tweet karna yaad nahi aaya jab ""islamic jehad"" group ne 200 rocket mare. sanatani hor yahoodi kya insaan nahi hain, unke bacche nahi hain kya.  shanti se rahenge, ""kehna hor rehna"" alag alag matlab hota hai.  ""karoge to bharoge"" allah ka niyam hai.ðŸ™",1
aja gashti ab tere pics or tujhe insta py randi k naam se famous krta hun gashti aurat,0
chl rundi k bachay khadrayðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,0
rt : 14 feb k liye room mile ga?????  beth k rona haiðŸ˜ŒðŸ˜ŒðŸ™„  single hun bhaeðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚âœŒðŸ˜Œ,1
"halala ki paidaish , andha hai  buddhe dikh nahin raha ki ye kisi ki shadi ka video hai.",0
11 11 ka koi rola na dalay,1
bc mujhe ye reply kyo de tha h.ðŸ˜¡ maine to full negativity ki thi.,0
 kaisy third class log hain ye..? ye kbhi sharminda b hon gy?,0
junrs say bna k rkhni chahiye....grad k bad bht kaam aatay hain ye chotay log,1
rundi kisi kunjri ki aulaad,0
  karma hits hard  ye jo dehshat gardi hai iss k peechaywardi hai,0
oh wao you made your slogan yes i know you are a bts ka hijra ðŸ˜‚ðŸ¤˜,0
not even a single soul.  i repeat  not a single person.   ju ja rha hai.. darwaza band kar k jaye..! . ,1
yahi to randdi hone ka saboot hai,0
 shayad kisi ki yaad ma,1
 ðŸ˜‚ ab pata chal gya hua hai,1
bssss dekhe mene abhi rundi rona krte hue,0
along with akhrot,1
dafan ho gaye watan se gaddari karne wale.. ab chahy barsi manao ya matam.. yahi anjaam hoga watan se gaddari karne walo kaÂ  #article6forptmleadership ,0
inh koh majaa aata hai........tabhiii nahi mangii halala and triple talaq seh azzaaddiiii........,0
babur ki najayaz aulade hai ye sab.  jinke khadan wale dar kr sanatan chhor diye aur islamist ban gye. ab ye log hi bhaunk rhe hai.,0
 try to forget what happened... nhi hoga tow na sahi,1
 mehboob jab bar bar samnay aye tou dil me dard sa hota hai us se bachne ky liye log pehle migration krte thay ab block kr dete hain.,1
 are dimag se andhe..do you know how to handle such situation?? to avoid any misshappening police start conversation and try to calm the situation..mujhe to lagta hai ki ye tum jaise logo ka hi plant kiya hua hathyar hai...,0
bc inka anthem sun kr kaanon ka cancer ho gaya haðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£,0
 tum he hoe,1
"calling someone qadiani, yahoodi, making fun of his wife, u turn khan, selected, homosexual, and you hadn't had a foggiest notion of whats wrong with it. now all of sudden you woke up for bilawal... remember tractor trolly ???",1
randi nasal waly adki ki pehchan yahi hoti hai fake pic upload kr k propaganda krna madarchod,0
"i wish a film is made on the plight of forcefully castrated males by wives ,girlfriends and hijra mafia.these men are forced to live lives worse than death.even their own parents disown them.only  a case of grievous injury caused by  weapon is registered against offender #chappak",1
aree bhenchod teri maki aakk...akshay daar gaya or rohit bolkar date change karyodiya...chota star chakki ko mention pe bhi nahi kara canadien ,0
madam khud ki knowledge durust kro. kitne link mene tumko diye h halala case ke jisme aurat pregnant ho gayi h.,1
"samajh sakta hu tumhara dard charsi.  ab tumhe joke bhi nahi samajhta to main kya karu, madarsa main teacher to nahi lag sakta na.",0
o stupid insan.. molana bss apni kursi k liye niklta hy or bss pakistan ki hakomat k khilaaf. is yahodi agent k dill main na koi islam ki mohbat hy or na he pakistan ki,0
 pata chaly wo mazak men galy par jaey ðŸ˜‚ðŸ˜‚,1
sorry. would rather give that 1 rupee to a beggar than this charsi  .,0
resign kar kyun nahi dete? ??ðŸ˜›ðŸ˜› ,1
launda phaans liya randi,0
aunty aap sunni shia barelvi ahmedi etc etc etc  kya hoðŸ¤”,0
is haftay bht hi ajeeb ajeeb cheezain samny ayee kuch din phly pta chla paras ki b army hh aj pta chla mahira k b faans hai #shehbaazonfire,1
 maray mam key choice iteney bury niye jo tum ko pasand kar ly,0
are to jao behan mene kha na tum asim ko support kro me kha kh rhi hu ki usko support mt kro ya sana ko support kro tumhari jo marzi kro bs mera peecha chod do bhen faltu ka jhagada kr k kya milega tumhe,1
 ye to un hi ko pta,1
yes.. pta nhi bc sidnaaz ka drama kyu ni khtm kr rhe ye log  #nomoresidnaaz,0
yahi hijra teri maa per charha to tu peda hua,0
"ek bat bataun, reply karne se moat nahi ati kardia karo bhenchod.(2)",0
"herbal medicine se sujan to nahi jaati par dard ka ahsaas khatam ho jata hai, after lathi charge. it helps them alot. wo dekhe nahi aapne charsi socks sungte rehte hai ? same cheez.",1
 satya bhai samjh ni i mujhe k ap ko aisa q lagta he?  is our #hero,1
madarchod teri gand mari randi chood tere muh me kutte ka lund gadhe ki jhant fafund wale lund ke,0
bandr killa ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,1
"ye bhosdiwale hai , inko dusro se nafrat hi sikhayi gayi hai , inhe bataya gaya hai dusre mazhab ke log jahannum me jayenge or inke mazhab ke suurma logo jannat me ko 72 virgin ladkiyo se nawaza jayega",0
probably a block is what they really wanted so that they could do randee roana ðŸ™„,0
teri galaxy ki phudi mai mota sa lun dia hai tarp rehi hai wo,0
jab tak jahil awam zinda hai tab tak chor log is tarah k trend karte rahhe ge top bharwo k bacho pakistan army sab se best hai or we love pakistan army nawaz ganje mulla bharwe #nationdemandsunbiasedarmy,0
sir ye hamein na batayen k fake news hai. ye tu hamein b pata hai. app action len is channel k khilaf k woh fake news chala kaise rahe hain,1
maa ki duaðŸ‘ baap ki roadðŸš˜ #mustanggt,1
 sir yahan justice ko bhe huqooq nahi miltay ager woh je huzoori na karay... aam admi ko to bhool jaen,1
bharwe awaz ari hai ???,0
chinki tu bahout bdl gyi hai rey.... ðŸ˜Ÿ  #bb13,1
rt : ye joker log khan nahin munafik hai,0
hmmm point to be noted ðŸ¤” koi na hum b bhabhi ko ni puchny gy ðŸ˜‚ ,1
allah is yahodi ko sakht sa sakht saza day,0
and will be allowed to escape ?!?! yahoodi agent hum se ziada qanoon k paband hain when it comes to corruption. they are more sincere to their country!,1
meray khiyal sy geo ko ab bas kerna chieye ye bohot ziada ho gia ha,1
 fawad sir why u r so feared say in ur statement  that we r ready to fight ....,1
agr ap ke babu ny 2 mint late reply kiya is ka matlab daal main kuch kala hai ...ðŸ™ŠðŸ¤”,1
"you mean india is kafir ,pakistan is munafik & kashmir is mominðŸ˜¡ðŸ˜¯??agar pakistan ma asey munafik hai to kashmir ma bhi to ap jesay munafik hai ma..",0
#slanty khaty huey jaan boojh kr 2-4 bed pr gira deta hn ta k baad m #surprise mily ðŸ˜ðŸ¤£ðŸ™ˆðŸ˜‚,1
rt : faasla rakhein baad me ap kehty hain we are just friends ðŸ™‚,1
is gashti k bacho ka pir yahi kahna ha k jese is k bap navaz shrif ne kaha tha k india mane pakistan  ne dahmke karve ab ye kanjri ka bacha usi ki zuban bohl raha ha,0
  mere baitey achhi bhali teri karyaaney ki dukaan chal rahi thi.tu aisey hi maa behen aik karwaaney social media par ghuss gya hey ðŸ˜‚ðŸ¤£,0
bohat kali or khuli phudi ha bai iski,0
bs khela ni jata ... bazu sun ho jata ha,1
   don't be rude bro sid zarur jeeta ga vo srf itni bt kr rahe hain ke makers ko agar doosera fandom ne biased ka pressure daala to makers shenaz ko win krein ge ise liye humein itni tagri voting krni he ke doosron ko jab sid jewta ye na kehna parw bigg boss biaswd #keepshiningsid,1
*desi mom b like* tu dahi leny ja raha hai ya nhi... ,1
 axha  mujhe nahi pata tha,1
"aik jaise randi ronay hain hamaray. prepare well for your cies, pehlay walo main achay grades aayenge toh aagay motivation mille gi. considering youâ€™re in class 10?",0
agr dum hai toh sana ki bach bitching ki video daal  abhi but dum hoga toh  tujhme dum nhi   ne mujhe block kia hai sab naak mai dum kro or video mango  saala syapa inka  #mahirakapappuparas  #shehbaazonfire ,1
chup bharwe hamesha kutte ki tarah bhokha rahta hai bc,0
" o bibi ap skun kryn zra, nko lekr ana virus lekr any k brabr ha, wo 500 hyn, allah pak unki hifzt kryn yahan p pura mulk ha, just hold kryn apna b sochyn or mulk ka b unk any k bad unk ghr walo ko alg se tntion hoge, zra door ki soch lia kryn, hmry apny hyn, hm dua go hyn",1
 itni bari sifarish krte hoe shrm ni ayi,0
ye kamini haramjaadi randi deepika ki us time moving nahi hogi  thuu hai aise intertenmet pe  tayag hai aaj se  desh pehale  thuu hai iske mooh pe,0
